City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,271.03,93,100,2.83,CL,24-06-08
1,ushuaia,-54.8,-68.3,271.96,80,0,3.09,AR,24-06-08
2,kone,-21.0595,164.8658,297.52,74,95,1.69,NC,24-06-08
3,nikel,69.4128,30.222,277.25,72,57,4.6,RU,24-06-08
4,atafu village,-8.5421,-172.5159,301.72,75,100,2.88,TK,24-06-08
5,longyearbyen,78.2186,15.6401,275.06,69,75,7.2,SJ,24-06-08
6,badger,64.8,-147.5333,298.29,23,75,2.57,US,24-06-08
7,invercargill,-46.4,168.35,282.05,92,100,2.1,NZ,24-06-08
8,port-aux-francais,-49.35,70.2167,279.57,98,100,13.24,TF,24-06-08
9,staroderevyankovskaya,46.1276,38.9674,303.55,32,11,1.34,RU,24-06-08
10,ust-nera,64.5667,143.2,284.68,29,100,2.46,RU,24-06-08
11,yoloten,37.2989,62.3597,311.28,11,5,1.91,TM,24-06-08
12,keflavik,64.0049,-22.5624,280.39,70,0,1.54,IS,24-06-08
13,adamstown,-25.066,-130.1015,295.49,77,19,5.28,PN,24-06-08
14,nardo,40.1751,18.0297,300.91,54,0,1.34,IT,24-06-08
15,edinburgh of the seven seas,-37.0676,-12.3116,287.87,86,100,12.06,SH,24-06-08
16,la passe,45.5549,-0.8967,288.28,80,100,6.47,FR,24-06-08
17,onguday,50.75,86.15,294.84,67,97,1.12,RU,24-06-08
18,coahuayana de hidalgo,18.7,-103.6583,296.96,87,61,1.01,MX,24-06-08
19,bonthe,7.5264,-12.505,298.03,91,68,0.8,SL,24-06-08
20,tabuk,17.4189,121.4443,305.65,61,55,0.93,PH,24-06-08
21,iskateley,67.6803,53.1512,274.83,86,100,2.68,RU,24-06-08
22,ebon,4.582,168.6964,302.44,75,100,5.68,MH,24-06-08
23,khandyga,62.6667,135.6,293.09,22,65,2.05,RU,24-06-08
24,college,64.8569,-147.8028,298.33,32,75,2.57,US,24-06-08
25,yuanping,38.7153,112.7575,295.07,47,100,11.8,CN,24-06-08
26,isafjordur,66.0755,-23.124,276.42,85,69,0.91,IS,24-06-08
27,tiksi,71.6872,128.8694,274.56,86,98,4.39,RU,24-06-08
28,pervomayskoye,43.919,46.7102,303.29,37,100,4.95,RU,24-06-08
29,kavieng,-2.5744,150.7967,302.95,73,32,4.1,PG,24-06-08
30,ribeira grande,38.5167,-28.7,292.37,77,40,3.09,PT,24-06-08
31,grytviken,-54.2811,-36.5092,270.95,82,61,6.17,GS,24-06-08
32,pangody,65.85,74.4859,281.13,65,2,2.85,RU,24-06-08
33,uturoa,-16.7333,-151.4333,300.43,75,8,2.84,PF,24-06-08
34,bethel,41.3712,-73.414,291.35,79,20,1.54,US,24-06-08
35,georgetown,5.4112,100.3354,306.11,58,20,3.6,MY,24-06-08
36,juan griego,11.0817,-63.9655,299.85,84,88,5.51,VE,24-06-08
37,nassau,40.7507,-73.5829,294.63,75,0,3.09,US,24-06-08
38,waitangi,-43.9535,-176.5597,284.72,89,97,2.24,NZ,24-06-08
39,albany,42.6001,-73.9662,289.77,71,100,1.87,US,24-06-08
40,thinadhoo,0.5333,72.9333,301.9,73,100,3.42,MV,24-06-08
41,vila franca do campo,37.7167,-25.4333,291.42,99,51,2.83,PT,24-06-08
42,vadso,70.0744,29.7487,277.64,87,100,5.66,NO,24-06-08
43,talnakh,69.4865,88.3972,274.93,87,95,3.91,RU,24-06-08
44,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,63,75,6.26,RU,24-06-08
45,hermanus,-34.4187,19.2345,284.15,77,0,3.05,ZA,24-06-08
46,hawaiian paradise park,19.5933,-154.9731,298.88,74,100,2.06,US,24-06-08
47,yellowknife,62.456,-114.3525,283.94,69,75,1.03,CA,24-06-08
48,margaret river,-33.95,115.0667,288.85,63,100,11.18,AU,24-06-08
49,carnarvon,-24.8667,113.6333,296.39,77,100,6.67,AU,24-06-08
50,sisimiut,66.9395,-53.6735,275.33,98,100,6.12,GL,24-06-08
51,iqaluit,63.7506,-68.5145,273.0,80,100,4.12,CA,24-06-08
52,avarua,-21.2078,-159.775,295.18,60,20,2.57,CK,24-06-08
53,port macquarie,-31.4333,152.9167,289.58,69,77,1.9,AU,24-06-08
54,baise city,23.8997,106.6133,297.28,100,100,1.82,CN,24-06-08
55,bubaque,11.2833,-15.8333,299.44,79,100,3.72,GW,24-06-08
56,port lincoln,-34.7333,135.8667,289.92,49,100,3.36,AU,24-06-08
57,melekeok village,7.4957,134.6367,300.46,89,100,3.09,PW,24-06-08
58,tchintabaraden,15.8969,5.7985,305.73,37,3,6.92,NE,24-06-08
59,walvis bay,-22.9575,14.5053,295.45,22,0,7.41,NA,24-06-08
60,nemuro,43.3236,145.575,284.71,90,100,6.77,JP,24-06-08
61,queenstown,-31.8976,26.8753,283.42,59,0,1.83,ZA,24-06-08
62,ilulissat,69.2167,-51.1,277.16,81,75,0.51,GL,24-06-08
